id,Phase ID,Plant phase,Phase operating status,project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
P100000120112,S100000130151,Expansion,construction,Tangshan Songting Iron & Steel Co Ltd,唐山松汀钢铁有限公司 1500高炉,Tangshan Songting IRON&STEEL Co Ltd [100%],"Tangshan Songting Iron & Steel Co., Ltd.",N/A,Hebei,China,Asia Pacific,construction,N/A,1330.0,ironmaking_BF,BF,https://www.gem.wiki/Tangshan_Songting_Iron_&_Steel_Co_Ltd,39.938866,118.576678
P100000120118,S100000130164,Expansion,construction,Tangshan Ganglu Iron and Steel Co Ltd,唐山港陆钢铁有限公司 1270高炉,Guotao Co Ltd (Hong Kong) [76.3%]; Yushan (Beijing) Metallurgical Investment Co Ltd [23.7%],"Tangshan Ganglu Iron and Steel Co., Ltd.",N/A,Hebei,China,Asia Pacific,construction,N/A,1170.0,ironmaking_BF,BF,https://www.gem.wiki/Tangshan_Ganglu_Iron_and_Steel_Co_Ltd,40.183913,118.073913
P100000120120,S100000130167,Expansion,operating,Jingye Iron and Steel Co Ltd,敬业钢铁有限公司,Hebei Jingye Group Co Ltd [100.0%],"Jingye Iron and Steel Co., Ltd.",N/A,Hebei,China,Asia Pacific,operating,N/A,1330.0,ironmaking_BF,BF,https://www.gem.wiki/Jingye_Iron_and_Steel_Co_Ltd,38.391372,114.139998
P100000120120,S100000130168,Expansion,operating,Jingye Iron and Steel Co Ltd,敬业钢铁有限公司,Hebei Jingye Group Co Ltd [100.0%],"Jingye Iron and Steel Co., Ltd.",N/A,Hebei,China,Asia Pacific,operating,N/A,1330.0,ironmaking_BF,BF,https://www.gem.wiki/Jingye_Iron_and_Steel_Co_Ltd,38.391372,114.139998
P100000120123,S100000130173,Expansion,operating,Chengde Jianlong Special Steel Co Ltd,承德建龙特殊钢有限公司,Beijing Jianlong Investment Co Ltd [90.2%]; other [9.8%],"Chengde Jianlong Special Steel Co., Ltd.",N/A,Hebei,China,Asia Pacific,operating,N/A,1130.0,ironmaking_BF,BF,https://www.gem.wiki/Chengde_Jianlong_Special_Steel_Co_Ltd,40.515035,117.596071
P100000120136,S100000130193,Expansion,cancelled,Hebei Xin Wu'an Steel Group Hongrong Iron and Steel Co Ltd,河北新武安钢铁集团烘熔钢铁有限公司,Hebei Puyang Industrial Group Co Ltd [45.5%]; Xianghe Hongcheng New Energy Technology Co Ltd [27.6%]; Longxiang Group (Hong Kong) [24.5%]; other [2.4%],"Hebei Xin Wu'an Steel Group Hongrong Iron and Steel Co., Ltd.",unknown,Hebei,China,Asia Pacific,cancelled,N/A,1370.0,ironmaking_BF,BF,https://www.gem.wiki/Hebei_Xin_Wu'an_Steel_Group_Hongrong_Iron_and_Steel_Co_Ltd,36.640411,113.981172
P100000120137,S100000130195,Expansion,cancelled,Hebei Xinjin Iron and Steel Co Ltd,河北新金钢铁有限公司,WEALTH GROUP INVESTMENT LIMITED [78.0%]; Wu'an Hongji Investment Co Ltd [12.7%]; other [4.1%]; Hong Kong Cathay Industrial Group [1.6%],"Hebei Xinjin Iron and Steel Co., Ltd.",unknown,Hebei,China,Asia Pacific,cancelled,N/A,1160.0,ironmaking_BF,BF,https://www.gem.wiki/Hebei_Xinjin_Iron_and_Steel_Co_Ltd,36.715632,114.208992
P100000120146,S100000130208,Expansion,cancelled,Tangshan Donghai Iron and Steel Group Co Ltd,唐山东海钢铁集团有限公司,Tangshan Donghai Iron and Steel Group Co Ltd [100%],"Tangshan Donghai Iron and Steel Group Co., Ltd.",N/A,Hebei,China,Asia Pacific,cancelled,N/A,1130.0,ironmaking_BF,BF,https://www.gem.wiki/Tangshan_Donghai_Iron_and_Steel_Group_Co_Ltd,39.748373,118.624794
P100000120155,S100000130219,Expansion,operating,Xinji Aosen Iron and Steel Group Co Ltd,辛集市澳森钢铁集团有限公司,Xinji AOSEN Steel Group Co Ltd [100%],"Xinji Aosen Iron and Steel Group Co., Ltd.",N/A,Hebei,China,Asia Pacific,operating,N/A,1330.0,ironmaking_BF,BF,https://www.gem.wiki/Xinji_Aosen_Iron_and_Steel_Group_Co_Ltd,37.752351,115.184798
P100000120163,S100000130228,Expansion,construction,Angang Group Xinyang Iron and Steel Co Ltd,安钢集团信阳钢铁有限责任公司,persons [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; other [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],"Angang Group Xinyang Iron and Steel Co., Ltd.",Partial,Henan,China,Asia Pacific,construction,N/A,1150.0,ironmaking_BF,BF,https://www.gem.wiki/Angang_Group_Xinyang_Iron_and_Steel_Co_Ltd,32.488704,114.038243
